"mu","f_DOPO"
-20,0.02586038195889443
-19.9,0.025979294036787993
-19.8,0.026099441899832793
-19.7,0.026220798015634504
-19.6,0.02634339603175344
-19.5,0.02646725113056282
-19.4,0.026592398020693856
-19.3,0.026718840758510137
-19.2,0.026846595920540166
-19.1,0.026975708429129684
-19,0.02710616787958527
-18.9,0.027238028515046184
-18.8,0.02737128386764485
-18.7,0.027505974535334012
-18.6,0.027642096535514173
-18.5,0.02777971430053797
-18.4,0.027918830514603622
-18.3,0.02805947089971557
-18.2,0.02820164443681231
-18.1,0.028345407899793472
-18,0.028490749128703252
-17.9,0.028637742246069357
-17.8,0.02878637988224663
-17.7,0.028936694779492643
-17.6,0.029088704340702466
-17.5,0.029242475778501868
-17.4,0.029398014560011215
-17.3,0.029555349990768014
-17.2,0.02971451860584203
-17.1,0.029875528747009814
-17,0.030038461777734955
-16.9,0.030203308540635576
-16.8,0.030370119654648267
-16.7,0.030538921688231958
-16.6,0.03070977053965419
-16.5,0.030882680042898344
-16.4,0.031057698094798702
-16.3,0.03123486130632452
-16.2,0.03141421904445045
-16.1,0.031595795404729295
-16,0.03177963470500135
-15.899999999999999,0.0319657902507926
-15.8,0.032154297786119994
-15.7,0.03234520458825097
-15.6,0.03253855398182199
-15.5,0.03273439505123401
-15.399999999999999,0.032932774132041716
-15.3,0.03313374175932216
-15.2,0.03333734476168776
-15.1,0.03354363206160741
-15,0.03375266641909116
-14.899999999999999,0.033964506913833035
-14.8,0.03417920244035488
-14.7,0.034396805511338134
-14.6,0.03461739466279678
-14.5,0.03484099611452174
-14.399999999999999,0.03506770789189121
-14.3,0.03529757244336438
-14.2,0.03553066946716417
-14.1,0.03576705487551584
-14,0.03600680533850828
-13.899999999999999,0.036249994184911545
-13.8,0.03649668697663914
-13.7,0.036746973850687016
-13.6,0.037000913336793416
-13.5,0.03725860979673407
-13.399999999999999,0.03752012436718408
-13.3,0.037785558139960006
-13.2,0.03805498409514499
-13.1,0.038328508968844814
-13,0.03860622510765326
-12.899999999999999,0.03888820693758628
-12.8,0.0391745871072414
-12.7,0.03946543267895597
-12.6,0.039760872594675305
-12.5,0.040061016008820206
-12.399999999999999,0.04036595482404424
-12.3,0.040675833235116955
-12.2,0.04099074974409288
-12.1,0.04131083623537596
-12,0.04163621726851646
-11.9,0.04196702107636402
-11.799999999999999,0.04230339761355986
-11.7,0.04264546425731927
-11.6,0.042993391513586186
-11.5,0.043347310639427074
-11.4,0.04370739299987596
-11.299999999999999,0.04407379329370813
-11.2,0.04444667054152236
-11.1,0.044826206056608975
-11,0.04521257910581486
-10.9,0.04560596725664398
-10.799999999999999,0.04600657104715069
-10.7,0.0464145798460227
-10.6,0.046830205141696495
-10.5,0.04725366408684108
-10.399999999999999,0.0476851741701827
-10.299999999999999,0.0481249749752205
-10.2,0.048573291554433844
-10.1,0.04903038220150466
-10,0.04949649804780155
-9.899999999999999,0.04997191592677951
-9.799999999999999,0.050456907157030856
-9.7,0.050951769214937125
-9.6,0.05145680066388601
-9.5,0.05197231129588942
-9.399999999999999,0.05249863882792611
-9.299999999999999,0.05303611441054756
-9.2,0.05358509906407795
-9.1,0.05414596706399333
-9,0.05471910093043695
-8.899999999999999,0.055304907550234206
-8.799999999999999,0.055903802313871785
-8.7,0.05651623198111295
-8.6,0.05714265744580887
-8.5,0.05778355730712197
-8.399999999999999,0.05843943114275508
-8.299999999999999,0.05911081562622122
-8.2,0.059798253009600885
-8.1,0.06050232401316016
-8,0.06122364451282298
-7.899999999999999,0.06196283651014286
-7.799999999999999,0.0627205713098984
-7.699999999999999,0.06349755834930677
-7.6,0.0642945212662537
-7.5,0.06511223661904877
-7.399999999999999,0.0659515218965364
-7.299999999999999,0.06681322769380374
-7.199999999999999,0.06769826298397394
-7.1,0.0686075720057159
-7,0.06954216053756362
-6.899999999999999,0.07050308057659906
-6.799999999999999,0.0714914565562707
-6.699999999999999,0.07250846178896565
-6.6,0.07355534382048201
-6.5,0.07463343006733572
-6.399999999999999,0.07574411295061571
-6.299999999999999,0.07688888008329911
-6.199999999999999,0.0780693003152608
-6.1,0.07928703849065259
-6,0.08054387720846183
-5.899999999999999,0.08184169693229908
-5.799999999999999,0.08318250763749116
-5.699999999999999,0.08456844667603794
-5.6,0.08600179762847046
-5.5,0.08748499233482271
-5.399999999999999,0.08902063224868714
-5.299999999999999,0.09061150503809533
-5.199999999999999,0.09226057970866774
-5.1,0.09397105703736457
-5,0.09574636051324825
-4.899999999999999,0.09759016738177226
-4.799999999999999,0.09950643720137986
-4.699999999999999,0.10149942881245314
-4.6,0.10357373426038963
-4.5,0.10573431042061629
-4.399999999999999,0.10798651573259432
-4.299999999999999,0.11033614009817495
-4.199999999999999,0.11278946706110149
-4.1,0.11535331257850642
-4,0.11803507373833977
-3.8999999999999986,0.12084280812702274
-3.8000000000000007,0.12378528742368722
-3.6999999999999993,0.12687209115331807
