"mu","f_DOPO"
-20,0.5000000098573256
-19.9,0.4999989027858377
-19.8,0.5000002646345136
-19.7,0.4999998986022127
-19.6,0.4999995087533533
-19.5,0.49999897752360534
-19.4,0.5000009162622916
-19.3,0.5000011083539516
-19.2,0.5000004031277617
-19.1,0.5000007421223344
-19,0.5000007952412869
-18.9,0.5000003561323997
-18.8,0.4999999778756969
-18.7,0.5000000227297973
-18.6,0.500000134578915
-18.5,0.49999972375001367
-18.4,0.500000781687507
-18.3,0.5000003296349035
-18.2,0.49999968474709433
-18.1,0.5000008587009549
-18,0.5000001290706354
-17.9,0.5000000634359907
-17.8,0.4999999382531844
-17.7,0.49999969679629785
-17.6,0.49999977974879156
-17.5,0.4999998394891763
-17.4,0.5000000369395904
-17.3,0.49999999052342003
-17.2,0.49999948492758944
-17.1,0.4999995511893819
-17,0.4999999141879452
-16.9,0.5000005085876206
-16.8,0.5000000889891759
-16.7,0.5000001230484051
-16.6,0.4999999196317287
-16.5,0.49999966155600273
-16.4,0.5000003486562344
-16.3,0.4999999988129088
-16.2,0.5000002015014867
-16.1,0.4999998567626277
-16,0.49999979575630277
-15.899999999999999,0.5000001391186991
-15.8,0.49999991421297035
-15.7,0.4999999143470476
-15.6,0.4999995014028974
-15.5,0.5000004793466234
-15.399999999999999,0.5000002957185652
-15.3,0.4999997394898301
-15.2,0.5000004864708729
-15.1,0.4999999969449568
-15,0.5000000734336516
-14.899999999999999,0.5000002030436883
-14.8,0.4999997628655734
-14.7,0.5000000048294015
-14.6,0.5000001631679958
-14.5,0.49999975304696
-14.399999999999999,0.5000001194611821
-14.3,0.5000002309547368
-14.2,0.49999990575949055
-14.1,0.49999991036603064
-14,0.500000080532272
-13.899999999999999,0.4999998654933616
-13.8,0.5000001892083086
-13.7,0.49999999204087764
-13.6,0.5000000512136749
-13.5,0.5000000872557332
-13.399999999999999,0.5000002025159507
-13.3,0.5000003393511917
-13.2,0.4999991881242463
-13.1,0.49999932862919405
-13,0.4999994501832164
-12.899999999999999,0.4999994483965945
-12.8,0.49999942021090693
-12.7,0.499999881777844
-12.6,0.49999953671977154
-12.5,0.499999966547221
-12.399999999999999,0.49999997601434526
-12.3,0.4999985851478141
-12.2,0.4999988852881874
-12.1,0.4999992844201109
-12,0.4999996443124817
-11.9,0.49999937508873327
-11.799999999999999,0.4999995993550291
-11.7,0.4999999135997779
-11.6,0.4999997015015693
-11.5,0.49999959133216465
-11.4,0.5000000956590036
-11.299999999999999,0.49999955640109117
-11.2,0.5000001230961858
-11.1,0.4999998724590381
-11,0.4999999403728205
-10.9,0.49999983235179557
-10.799999999999999,0.4999998682265463
-10.7,0.4999999505405395
-10.6,0.500000183974037
-10.5,0.500000262035686
-10.399999999999999,0.5000000494266806
-10.299999999999999,0.499999958240235
-10.2,0.5000000136228391
-10.1,0.4999999672118063
-10,0.49999989251626376
-9.899999999999999,0.49999992744084937
-9.799999999999999,0.5000000381726762
-9.7,0.500000083719467
-9.6,0.5000000405503603
-9.5,0.5000000751719194
-9.399999999999999,0.4999998949790204
-9.299999999999999,0.5000000326543083
-9.2,0.49999997370127836
-9.1,0.4999999557038772
-9,0.5000000212378807
-8.899999999999999,0.500000013163646
-8.799999999999999,0.4999998615578239
-8.7,0.5000001133869291
-8.6,0.49999995234938194
-8.5,0.5000000135466991
-8.399999999999999,0.500000000885656
-8.299999999999999,0.4999999666576061
-8.2,0.5000000498408503
-8.1,0.4999999646753459
-8,0.5000000045357686
-7.899999999999999,0.5000000291669683
-7.799999999999999,0.4999999833569584
-7.699999999999999,0.49999998641188326
-7.6,0.5000000254709279
-7.5,0.5000000569670117
-7.399999999999999,0.500000009082304
-7.299999999999999,0.5000000635905801
-7.199999999999999,0.5000000292564871
-7.1,0.5000000168374596
-7,0.49999999591656613
-6.899999999999999,0.5000000528635864
-6.799999999999999,0.49999997767338294
-6.699999999999999,0.49999995457281954
-6.6,0.5000000443130458
-6.5,0.49999996506601574
-6.399999999999999,0.49999998714406113
-6.299999999999999,0.4999999821639568
-6.199999999999999,0.5000000094081484
-6.1,0.5000000140082848
-6,0.5000000131502128
-5.899999999999999,0.5000000089610186
-5.799999999999999,0.500000005534814
-5.699999999999999,0.49999998313112337
-5.6,0.4999999611994431
-5.5,0.4999999999902406
-5.399999999999999,0.49999999917744986
-5.299999999999999,0.5000000105446406
-5.199999999999999,0.500000023322218
-5.1,0.5000000114542926
-5,0.49999999435022313
-4.899999999999999,0.4999999376426617
-4.799999999999999,0.4999999849086947
-4.699999999999999,0.499999982602227
-4.6,0.49999999111782917
-4.5,0.49999996464998303
-4.399999999999999,0.4999999815901579
-4.299999999999999,0.4999999976603645
-4.199999999999999,0.5000000148214051
-4.1,0.5000000113108325
-4,0.500000011552907
-3.8999999999999986,0.5000000000460461
-3.8000000000000007,0.4999999988752811
-3.6999999999999993,0.5000000037939084
-3.599999999999998,0.49999999522921024
-3.5,0.5000000042344807
-3.3999999999999986,0.49999999640857706
-3.3000000000000007,0.4999999979762569
-3.1999999999999993,0.49999999995355915
-3.099999999999998,0.4999999999034975
-3,0.5000000053577517
-2.8999999999999986,0.49999999936539474
-2.8000000000000007,0.49999999759784725
-2.6999999999999993,0.49999999891121893
-2.599999999999998,0.5000000004565908
-2.5,0.5000000008912737
-2.3999999999999986,0.4999999999401444
-2.3000000000000007,0.5000000000546885
-2.1999999999999993,0.49999999883403573
-2.099999999999998,0.49999999986230764
-2,0.49999999976932874
-1.8999999999999986,0.5000000004777945
-1.8000000000000007,0.5000000000415752
-1.6999999999999993,0.5000000014164234
-1.5999999999999979,0.4999999995233794
-1.5,0.4999999992930355
-1.3999999999999986,0.5000000000846233
-1.3000000000000007,0.49999999963180364
-1.1999999999999993,0.49999999988776134
-1.0999999999999979,0.49999999990672317
-1,0.49999999991855537
-0.8999999999999986,0.5000000000174838
-0.7999999999999972,0.5000000000311999
-0.6999999999999993,0.4999999999513187
-0.5999999999999979,0.5000000000220962
-0.5,0.5000000000125548
-0.3999999999999986,0.500000000010216
-0.29999999999999716,0.4999999999999942
-0.1999999999999993,0.49999999999951694
-0.09999999999999787,0.49999999999987227
0,0.5000000000000001
0.10000000000000142,0.49999999999964434
0.20000000000000284,0.4999999999990359
0.3000000000000007,0.4999999999979442
0.40000000000000213,0.49999999998625533
0.5,0.5000000000002454
0.6000000000000014,0.5000000000227793
0.7000000000000028,0.500000000032823
0.8000000000000007,0.5000000000166447
0.9000000000000021,0.500000000070681
1,0.5000000001061273
1.1000000000000014,0.5000000000009438
1.2000000000000028,0.4999999999420641
1.3000000000000007,0.49999999989882493
1.4000000000000021,0.5000000000509404
1.5,0.5000000009627997
1.6000000000000014,0.49999999964778097
1.7000000000000028,0.4999999994981674
1.8000000000000007,0.500000000067189
1.9000000000000021,0.5000000007810008
2,0.49999999967099285
2.1000000000000014,0.500000000402189
2.200000000000003,0.49999999827776603
2.3000000000000007,0.49999999906418874
2.400000000000002,0.49999999728886346
2.5,0.5000000044496409
2.6000000000000014,0.499999993305691
2.700000000000003,0.5000000002116474
2.8000000000000007,0.4999999991436411
2.900000000000002,0.4999999971001009
3,0.5000000028986404
3.1000000000000014,0.5000000007126091
3.200000000000003,0.5000000012982411
3.3000000000000007,0.49999999976625265
3.400000000000002,0.5000000010496178
3.5,0.4999999999782541
3.6000000000000014,0.4999999968287632
3.700000000000003,0.5000000057888766
3.8000000000000007,0.5000000083994492
3.900000000000002,0.5000000059098583
4,0.4999999910215054
4.100000000000001,0.4999999842209243
4.200000000000003,0.49999998426533354
4.300000000000001,0.4999999944589498
4.400000000000002,0.5000000132755354
4.5,0.5000000003838924
4.600000000000001,0.5000000057973566
4.700000000000003,0.5000000017954334
4.800000000000001,0.4999999947499145
4.900000000000002,0.49999999958292424
5,0.5000000003072883
5.100000000000001,0.5000000117580197
5.200000000000003,0.499999988161548
5.300000000000001,0.5000000039160523
5.400000000000002,0.499999986069805
5.5,0.5000000127980812
5.600000000000001,0.4999999990747622
5.700000000000003,0.4999999942344715
5.800000000000001,0.4999999612306085
5.900000000000002,0.49999998552414227
6,0.4999999908171
6.100000000000001,0.4999999734320949
6.200000000000003,0.49999999286423336
6.300000000000001,0.4999999849168839
6.400000000000002,0.5000000213462633
6.5,0.5000000207453923
6.600000000000001,0.49999999101121995
6.700000000000003,0.5000000013134959
6.800000000000001,0.5000000308383343
6.900000000000002,0.5000000759383106
7,0.4999999869523504
7.100000000000001,0.4999998503511104
7.200000000000003,0.4999999200543643
7.300000000000001,0.5000000683337403
7.400000000000002,0.5000002423521854
7.5,0.4999999763161116
7.600000000000001,0.5000000267693457
7.700000000000003,0.5000000525987617
7.800000000000001,0.5000000343700111
7.900000000000002,0.5000000031180398
8,0.4999999277235251
8.100000000000001,0.49999996808076297
8.200000000000003,0.4999999323570977
8.3,0.4999999654314393
8.400000000000002,0.4999999957356058
8.5,0.5000000554270304
8.600000000000001,0.5000000497173385
8.700000000000003,0.4999999485160232
8.8,0.5000000052548713
8.900000000000002,0.49999994027360595
9,0.5000000297236724
9.100000000000001,0.5000001413212145
9.200000000000003,0.5000000223914755
9.3,0.49999998412091784
9.400000000000002,0.5000000259628101
9.5,0.49999999639656306
9.600000000000001,0.4999999020223605
9.700000000000003,0.5000000856330135
9.8,0.5000000669088375
9.900000000000002,0.50000003557
10,0.4999999658091568
10.100000000000001,0.5000000700240335
10.200000000000003,0.5000000398188927
10.3,0.49999983876081444
10.400000000000002,0.5000000936510958
10.5,0.5000000440526612
10.600000000000001,0.5000000525280892
10.700000000000003,0.4999997958096432
10.8,0.5000001718501595
10.900000000000002,0.500000016915541
11,0.5000002175035506
11.100000000000001,0.5000004345140332
11.200000000000003,0.5000001500245411
11.3,0.5000002346758856
11.400000000000002,0.4999999855561058
11.5,0.5000000448201959
11.600000000000001,0.5000001630575115
11.700000000000003,0.5000001094936568
11.8,0.500000014808494
11.900000000000002,0.49999994752919347
12,0.5000000258930681
12.100000000000001,0.49999946121056416
12.200000000000003,0.49999968072968676
12.300000000000004,0.4999997479986706
12.399999999999999,0.4999995336442511
12.5,0.4999996114362062
12.600000000000001,0.4999992798934308
12.700000000000003,0.4999989193317269
12.800000000000004,0.49999924378208493
12.899999999999999,0.4999991205085137
13,0.4999995873167944
13.100000000000001,0.4999991229073921
13.200000000000003,0.49999864913567743
13.300000000000004,0.4999991196599222
13.399999999999999,0.4999990220058677
13.5,0.4999985450752035
13.600000000000001,0.5000002585710629
13.700000000000003,0.5000000583009685
13.800000000000004,0.5000002003785372
13.899999999999999,0.49999983982846175
14,0.4999999936673233
14.100000000000001,0.5000001621238838
14.200000000000003,0.4999997003805803
14.300000000000004,0.49999996567926974
14.399999999999999,0.5000000196973056
14.5,0.49999995337662456
14.600000000000001,0.5000000071074524
14.700000000000003,0.49999997699835697
14.800000000000004,0.5000000695201087
14.899999999999999,0.5000006735167876
15,0.5000005983924871
15.100000000000001,0.49999991301824964
15.200000000000003,0.4999997856597339
15.300000000000004,0.5000000123297602
15.399999999999999,0.4999999822843181
15.5,0.4999997621348817
15.600000000000001,0.49999986171293487
15.700000000000003,0.5000000424278864
15.800000000000004,0.500000263336282
15.899999999999999,0.5000004282016217
16,0.5000002423797242
16.1,0.49999958372640246
16.200000000000003,0.49999976047772704
16.300000000000004,0.5000003188290782
16.4,0.4999999200491603
16.5,0.5000001499348583
16.6,0.5000001910401143
16.700000000000003,0.49999905529200483
16.800000000000004,0.5000000376551433
16.9,0.500000009055552
17,0.4999994967444085
17.1,0.5000001560187526
17.200000000000003,0.4999996967228548
17.300000000000004,0.5000006840782242
17.4,0.5000001750322222
17.5,0.5000001247298088
17.6,0.5000006864332999
17.700000000000003,0.5000004417881845
17.800000000000004,0.49999973116988394
17.9,0.4999989339981418
18,0.4999999635851907
18.1,0.499999683720421
18.200000000000003,0.49999970293418916
18.300000000000004,0.4999994971648874
18.400000000000006,0.4999991934923454
18.5,0.5000000012462351
18.6,0.49999999722764654
18.700000000000003,0.4999998415611415
18.800000000000004,0.5000005468428695
18.900000000000006,0.5000011293906546
19,0.4999997940047411
19.1,0.4999997843606352
19.200000000000003,0.49999954382284406
19.300000000000004,0.5000009763776889
19.400000000000006,0.5000004826461457
19.5,0.4999998540876852
19.6,0.500001143201917
19.700000000000003,0.499999411108764
19.800000000000004,0.5000007962154874
19.900000000000006,0.5000031655836139
20,0.5000002460093094
